"Orders","Pedidos"
"Search","Buscar"
"Payment Status","Estado de pago"
"Pending","Pendiente"
"Paid","Pagado"
"Canceled","Cancelado"
"Authorized","Autorizado"
"Failed","Fallido"
"Refunded","Reintegrado"
"Partial Refunded","Reembolso parcial"
"Shipment Status","Estado del Envio"
"Processing","Procesando"
"Shipped","Enviado"
"Delivered","Entregado"
"Clear Filters","Borrar Filtros"
"ORDER NUMBER","NUMERO DE ORDEN"
"DATE","FECHA"
"CUSTOMER EMAIL","CORREO ELECTRONICO DEL CLIENTE"
"SHIPMENT STATUS","ESTADO DEL ENVIO"
"PAYMENT STATUS","ESTADO DEL PAGO"
"There is no order to display","No hay ningun orden para mostrar"
"Show","Mostrar"
"Previous","Anterior"
"Next","Siguiente"
"Mark as shipped","Marcar como enviado"
"Fullfill ${count} orders","Completar ${count} ordenes"
"Are you sure you want to mark the selected orders as shipped?","¿Estas seguro de querer marcar las ordenes seleccionadas como enviadas?"
"Cancel","Cancelar"
"Order Number","Numero de orden"
"Date","Fecha"
"Customer Email","Correo electronico del cliente"
"Total","Total"
"Editing #${number}","Editando #${number}"
"Activities","Actividades"
"Customer was notified","Cliente notificado"
"Edit Tracking Info","Editar informacion de seguimiento"
"Tracking number","Numero de seguimiento"
"Carrier","Transportista"
"Save","Guardar"
"Cancel Order","Cancelar orden"
"Reason for cancellation","Motivo de cancelacion"
"Submit Cancellation","Confirmar cancelacion"
"Customer Information","Informacion del cliente"
"Contact Information","Informacion de contacto"
"Shipping Address","Direccion de envio"
"Billing address","Direccion de facturacion"
"Guest Checkout","Compra como invitado"
"No shipping required","Envio no requerido"
"Customer notes","Notas del cliente"
"No notes from customer","Sin notas del cliente"
"Mark Delivered","Marcar como entregado"
"Ship Items","Enviar articulos"
"No Shipping Required","Envio no requerido"
"Ship","Enviar"
"Ship items","Enviar articulos"
"Track shipment","Rastrear envio"
"Discount","Descuento"
"Shipping","Envio"
"Subtotal","Subtotal"
"items","articulos"
"Tax","Impuesto"
"SKU: ","SKU: "
