"Widgets","Widgets"
"New Widget","Nuevo widget"
"Search","Buscar"
"Clear Filters","Borrar filtros"
"Name","Nombre"
"Type","Tipo"
"Status","Estado"
"Enabled","Activado"
"Disabled","Desactivado"
"Disable","Deshabilitar"
"Enable","Habilitar"
"Delete","Eliminar"
"Disable ${count} widgets","Deshabilitar ${count} widgets"
"Enable ${count} widgets","Habilitar ${count} widgets"
"Delete ${count} widgets","Eliminar ${count} widgets"
"Are you sure?","¿Estás seguro?"
"Can't be undone","No se puede deshacer"
"Cancel","Cancelar"
"There is no widget to display","No hay ningún widget para mostrar"
"Show","Mostrar"
"Previous","Anterior"
"Next","Siguiente"
"Choose","Elegir"
"Editing widget ${name}","Editando widget ${name}"
"Create a new widget","Crear nuevo widget"
"Name is required","El nombre es obligatorio"
"Status is required","El estado es obligatorio"
"Areas","Áreas"
"Pages","Páginas"
"Type area and press enter...","Escriba el área y presione enter..."
"All","Todas"
"Sort Order","Orden de visualización"
"Sort order is required","El orden de visualización es obligatorio"
"Sort order must be a positive number","El orden de visualización debe ser un número positivo"
"The order in which this widget will be displayed. Lower numbers appear first.","El orden en que se mostrará este widget. Los números menores aparecen primero."
"Widget Settings","Configuración del widget"
"Configure the settings for the ${name} widget.","Configure los ajustes para el widget ${name}."
"Widget created successfully!","¡Widget creado con éxito!"
"Unknown","Desconocido"
