# =============================================
# Traducciones para /admin/products/new
# =============================================
# --- Page Heading ---
"Create a new product","Crear un nuevo producto"
"Editing ${name}","Editando ${name}"
# --- ProductNewForm ---
"Product created successfully","Producto creado exitosamente"
# --- General Information ---
"General Information","Informacion General"
"Manage the general information of the product.","Administrar la información general del producto."
"Product Name","Nombre del producto"
"Enter product name","Introduzca el nombre del producto"
"Product name is required","El nombre del producto es obligatorio"
"SKU","SKU"
"Enter SKU","Introduzca el SKU"
"SKU must be unique","El SKU debe ser único"
"Price","Precio"
"Enter price","Introduzca el precio"
"Category","Categoria"
"Select category","Seleccionar categoria"
"Select Category","Seleccionar Categoria"
"There was an error fetching categories.","Hubo un error al obtener las categorias."
"Loading...","Cargando..."
"Change","Cambiar"
"Unassign","Desasignar"
"Tax Class","Clase de impuestos"
"Description","Descripcion"
# --- Media ---
"Media","Multimedia"
"Manage product images and gallery. Drag and drop to reorder images.","Gestiona las imagenes y la galería de productos. Arrastra y suelta para reordenar las imagenes."
# --- SEO ---
"SEO","SEO"
"Manage the SEO settings.","Administrar la configuracion de SEO."
"URL Key","Clave URL"
"Enter URL Key","Introduzca la clave URL"
"URL Key is required","La clave URL es obligatoria"
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","La clave URL debe ser en minúsculas y solo puede contener letras, números y guiones"
"Meta Title","Meta Titulo"
"Enter Meta Title","Ingrese el metatitulo"
"Meta Title is required","El metatitulo es obligatorio"
"Meta Description","Meta descripcion"
"Enter Meta Description","Ingrese la meta descripcion"
# --- Product Status ---
"Product Status","Estado del producto"
"Set the status and visibility of the product.","Establecer el estado y la visibilidad del producto."
"Status","Estado"
"Disabled","Desactivado"
"Enabled","Activado"
"Disabled products will not be visible in the store and cannot be purchased.","Los productos desactivados no serán visibles en la tienda y no se podrán comprar."
"Visibility","Visibilidad"
"Not visible individually","No visible individualmente"
"Catalog, Search","Catálogo, Busqueda"
"Visibility determines where the product appears in the store. It does not affect the saleability of the product.","La visibilidad determina dónde aparece el producto en la tienda. No afecta la posibilidad de venta del producto."
# --- Inventory ---
"Inventory","Inventario"
"Manage the inventory settings of the product.","Administrar la configuracion de inventario del producto."
"Manage Stock","Gestionar Stock"
"Yes","Si"
"No","No"
"Stock Availability","Disponibilidad de stock"
"In Stock","En stock"
"Out of Stock","Agotado"
"Quantity","Cantidad"
# --- Shipping ---
"Shipping","Envio"
"Manage the shipping settings of the product.","Gestionar la configuracion de envío del producto."
"No shipping required?","¿No requiere envio?"
"Select this option if the product is a digital product or service that does not require shipping.","Seleccione esta opción si el producto es un producto digital o servicio que no requiere envío."
"Weight","Peso"
"Enter weight","Introducir peso"
"Weight must be a positive number","El peso debe ser un número positivo"
# --- Attributes ---
"Attribute group","Grupo de atributos"
"Manage the attributes.","Gestionar los atributos."
"Can not change the attribute group of a product that is already in a variant group.","No se puede cambiar el grupo de atributos de un producto que ya está en un grupo de variantes."
"Select an option","Seleccione una opción"
"Select options","Seleccionar opciones"
"Enter value for ${attribute}","Ingrese valor para ${attribute}"
"${name} is required","${name} es obligatorio"
# --- Attribute Options ---
"Default","Por defecto"
"White","Blanco"
"Black","Negro"
"Yellow","Amarillo"
"Size","Tamaño"
# --- Buttons ---
"Cancel","Cancelar"
"Save","Guardar"
