# Settings Pages Translations
# Store Setting
"Store Settings","Configuración de la tienda"
"Configure your store information","Configura la información de tu tienda"
"Contact Information","Información de contacto"
"Address","Dirección"
"Province","Provincia"
"Store Phone Number","Teléfono de la tienda"
"Store Email","Correo electrónico de la tienda"
"Store Name","Nombre de la tienda"
"Store Description","Descripción de la tienda"
"Country","País"
"City","Ciudad"
"Postal Code","Código postal"
"Store Address","Dirección de la tienda"
# Payment Setting
"Payment setting saved","Configuración de pago guardada"
# Shipping Setting
"Shipping","Envío"
"Choose where you ship and how much you charge for shipping.","Elige a dónde envías y cuánto cobras por el envío."
"Error loading zones","Error al cargar las zonas"
"No zones found","No se encontraron zonas"
"Create New Zone","Crear nueva zona"
"Edit Zone","Editar zona"
"Edit Shipping Zone","Editar zona de envío"
"Remove Zone","Eliminar zona"
"Zone removed successfully","Zona eliminada correctamente"
"Failed to remove zone","Error al eliminar la zona"
"Worldwide","Mundial"
"Zone Name","Nombre de la zona"
"Enter zone name","Ingresa el nombre de la zona"
"Zone name is required","El nombre de la zona es obligatorio"
"Country is required","El país es obligatorio"
"Provinces/States","Provincias/Estados"
"Select provinces/states","Seleccionar provincias/estados"
"Select country","Seleccionar país"
"Error loading countries","Error al cargar los países"
"Method","Método"
"Status","Estado"
"Cost","Costo"
"Condition","Condición"
"Action","Acción"
"+ Add Method","+ Agregar método"
"Add Shipping Method","Agregar método de envío"
"Enabled","Habilitado"
"Disabled","Deshabilitado"
"Edit","Editar"
"Delete","Eliminar"
"Method removed successfully","Método eliminado correctamente"
"Failed to remove method","Error al eliminar el método"
"Edit Shipping Method","Editar método de envío"
"Shipping Method","Método de envío"
"Select or create shipping method","Seleccionar o crear método de envío"
"Shipping method is required","El método de envío es obligatorio"
"Method name","Nombre del método"
"Method name is required","El nombre del método es obligatorio"
"Enable","Habilitar"
"Disable","Deshabilitar"
"Calculation Type","Tipo de cálculo"
"Flat rate","Tarifa fija"
"Price based rate","Tarifa basada en precio"
"Weight based rate","Tarifa basada en peso"
"API calculate","Cálculo por API"
"Flat rate cost","Costo de tarifa fija"
"Shipping cost","Costo de envío"
"This is the flat rate cost for shipping.","Este es el costo de tarifa fija para el envío."
"Shipping cost is required","El costo de envío es obligatorio"
"Calculate API endpoint","Endpoint de API de cálculo"
"Calculate API is required","La API de cálculo es obligatoria"
"This is the ID of an internal api to calculate shipping cost.","Este es el ID de una API interna para calcular el costo de envío."
"Conditions","Condiciones"
"Based on order price","Basado en el precio del pedido"
"Based on order weight","Basado en el peso del pedido"
"Minimum order price","Precio mínimo del pedido"
"Minimum order weight","Peso mínimo del pedido"
"Maximum order price","Precio máximo del pedido"
"Maximum order weight","Peso máximo del pedido"
