"Products","Productos"
"New Product","Nuevo Producto"
"Search","Buscar"
"Status","Estado"
"Enabled","Activado"
"Disabled","Desactivado"
"Product type","Tipo de producto"
"Simple","Simple"
"Configurable","Configurable"
"Clear Filters","Borrar Filtros"
"Thumbnail","Miniatura"
"Name","Nombre"
"Price","Precio"
"SKU","SKU"
"Stock","Stock"
"Disable","Deshabilitar"
"Enable","Habilitar"
"Delete","Eliminar"
"Disable ${count} products","Deshabilitar ${count} productos"
"Enable ${count} products","Habilitar ${count} productos"
"Delete ${count} products","Eliminar ${count} productos"
"Are you sure?","¿Estás seguro?"
"Can't be undone","No se puede deshacer"
"Cancel","Cancelar"
"There is no product to display","No hay ningún producto para mostrar"
"Show","Mostrar"
"Previous","Anterior"
"Next","Siguiente"
