"Coupons","Cupones"
"New Coupon","Nuevo Cupón"
"Search","Buscar"
"Status","Estado"
"Enabled","Activado"
"Disabled","Desactivado"
"Free shipping ?","¿Envío gratis?"
"Free shipping","Envío gratis"
"No free shipping","Sin envío gratis"
"Clear filter","Borrar filtro"
"Coupon Code","Código de cupón"
"State Date","Fecha de inicio"
"End Date","Fecha de fin"
"Used Times","Veces usado"
"Disable","Deshabilitar"
"Enable","Habilitar"
"Delete","Eliminar"
"Disable ${count} coupons","Deshabilitar ${count} cupones"
"Enable ${count} coupons","Habilitar ${count} cupones"
"Delete ${count} coupons","Eliminar ${count} cupones"
"Are you sure?","¿Estás seguro?"
"Can't be undone","No se puede deshacer"
"Cancel","Cancelar"
"There is no coupon to display","No hay ningún cupón para mostrar"
"Show","Mostrar"
"Previous","Anterior"
"Next","Siguiente"
"Editing ${name}","Editando ${name}"
"Create a new coupon","Crear nuevo cupón"
"General Information","Información general"
"The general information about the coupon.","La información general del cupón."
"Discount Type","Tipo de descuento"
"The type of discount applied by the coupon.","El tipo de descuento que aplica el cupón."
"Order conditions","Condiciones del pedido"
"The conditions related to the order for the coupon to be applied.","Las condiciones del pedido para que se aplique el cupón."
"Customer conditions","Condiciones del cliente"
"The conditions related to the customer for the coupon to be applied.","Las condiciones del cliente para que se aplique el cupón."
"Coupon created successfully!","¡Cupón creado con éxito!"
"Enter coupon code","Ingrese el código de cupón"
"Coupon code is required","El código de cupón es obligatorio"
"Coupon code can only contain letters, numbers, underscores, and hyphens","El código solo puede contener letras, números, guiones bajos y guiones"
"Description","Descripción"
"Enter description","Ingrese una descripción"
"Description is required","La descripción es obligatoria"
"Status is required","El estado es obligatorio"
"Free shipping?","¿Envío gratis?"
"Discount type is required","El tipo de descuento es obligatorio"
"Fixed discount to entire order","Descuento fijo al pedido completo"
"Percentage discount to entire order","Descuento porcentual al pedido completo"
"Fixed discount to specific products","Descuento fijo a productos específicos"
"Percentage discount to specific products","Descuento porcentual a productos específicos"
"Buy X get Y","Compra X obtén Y"
"Discount amount","Monto de descuento"
"Discount amount is required","El monto de descuento es obligatorio"
"Start date","Fecha de inicio"
"End date","Fecha de fin"
"Minimum purchase amount","Monto mínimo de compra"
"The minimum total amount required for the order to qualify for this coupon.","El monto mínimo total requerido para que el pedido califique para este cupón."
"Minimum purchase qty","Cantidad mínima de compra"
"Minimum purchase quantity","Cantidad mínima de artículos"
"The minimum quantity of items required in the order to qualify for this coupon.","La cantidad mínima de artículos requeridos en el pedido para que califique para este cupón."
"Customer groups","Grupos de clientes"
"Customer emails","Correos electrónicos de clientes"
"Enter customer emails","Ingrese correos electrónicos de clientes"
"Customer's purchase","Compras del cliente"
"Enter purchased amount","Ingrese el monto de compras"
"Minimum purchased amount. This only applies to registered customers.","Monto mínimo de compras previas. Solo aplica a clientes registrados."
"Key","Clave"
"Operator","Operador"
"Value","Valor"
"Minimum quantity","Cantidad mínima"
"Enter the quantity","Ingrese la cantidad"
"Minimum quantity is required","La cantidad mínima es obligatoria"
"Add product","Agregar producto"
"Unknown","Desconocido"
"Maximum","Máximo"
"quantity of products are matched bellow conditions(All)","productos que coinciden con las condiciones siguientes (Todas)"
"Maximum quantity is required","La cantidad máxima es obligatoria"
"Maximum quantity must be greater than or equal to 0","La cantidad máxima debe ser mayor o igual a 0"
"Target Products","Productos destino"
"Select operator","Seleccionar operador"
"Choose SKU","Seleccionar SKU"
"Choose Product SKU","Seleccionar SKU del producto"
"Sku","SKU"
"X","X"
"Y","Y"
"Max of Y","Máximo de Y"
"Discount percent","Porcentaje de descuento"
"Buy qty","Cant. a comprar"
"Buy qty is required","La cantidad a comprar es obligatoria"
"Get qty","Cant. a obtener"
"Get qty is required","La cantidad a obtener es obligatoria"
"Max of Y is required","El máximo de Y es obligatorio"
"Discount percent is required","El porcentaje de descuento es obligatorio"
"Category","Categoría"
"Collection","Colección"
"Attribute Group","Grupo de atributos"
"Price","Precio"
"Equal","Igual"
"Not equal","No igual"
"Greater","Mayor"
"Greater or equal","Mayor o igual"
"Smaller","Menor"
"Equal or smaller","Igual o menor"
"In","En"
"Not in","No en"
"Choose Categories","Seleccionar categorías"
"Choose Collections","Seleccionar colecciones"
"Choose SKUs","Seleccionar SKUs"
"Select Products by SKU","Seleccionar productos por SKU"
"Choose Attribute Groups","Seleccionar grupos de atributos"
"Value is required","El valor es obligatorio"
