"Collections","Colecciones"
"New Collection","Nueva Colección"
"Search","Buscar"
"Clear filters","Limpiar filtros"
"Clear Filters","Borrar Filtros"
"ID","ID"
"Collection Name","Nombre de la colección"
"Code","Código"
"Delete","Eliminar"
"Delete ${count} collections","Eliminar ${count} colecciones"
"Can't be undone","No se puede deshacer"
"Cancel","Cancelar"
"Are you sure?","¿Estás seguro?"
"There is no collections to display","No hay colecciones para mostrar"
"Show","Mostrar"
"Previous","Anterior"
"Next","Siguiente"
"Collection created successfully!","¡Colección creada exitosamente!"
"General Information","Información general"
"Manage general information about the collection.","Gestionar la información general de la colección."
"Collection Name","Nombre de la colección"
"Enter Collection Name","Ingresa el nombre de la colección"
"Collection Code","Código de la colección"
"Collection code is required","El código de la colección es obligatorio"
"Collection code must be alphanumeric and can include underscores or dashes.","El código de la colección debe ser alfanumérico y puede incluir guiones bajos o guiones."
"Description","Descripción"
"Create a new collection","Crear una nueva colección"
"Editing ${name}","Editando ${name}"
"Products","Productos"
"Manage the products assigned to this collection.","Gestionar los productos asignados a esta colección."
"Add Products","Agregar productos"
"Search products","Buscar productos"
"No product to display.","No hay productos para mostrar."
"Remove","Eliminar"
"Select products to add to this collection.","Selecciona productos para agregar a esta colección."
